date,quotation,speaker,qids,probas
2016-08-03,"It is no secret that post-Brexit the UK government is looking to strengthen ties with both India and China, so having a blue-chip Indian company successfully list the first corporate masala bond in London, rather than anywhere else, is seen as something of a coup.",None,[],"[['None', '0.6375'], ['Narendra Modi', '0.3625']]"
2016-09-12,"Northern Ireland will be the most affected region of the UK by Brexit, but it is already clear we are the least prepared.",Mike Nesbitt,"['Q6848174', 'Q6848175']","[['Mike Nesbitt', '0.9763'], ['None', '0.0237']]"
2016-07-13,"Of course I cannot anticipate the outcome of negotiations [ with Britain on a Brexit ],",Angela Merkel,['Q567'],"[['Angela Merkel', '0.6636'], ['None', '0.3364']]"
2016-12-01,"The Scottish Conservatives may have given up but we have not. When the First Minister meets the Chancellor today, will she make the case for a UK-wide Brexit deal referendum so that the public can have a say on the final Brexit deal?",None,[],"[['None', '0.3362'], ['Ruth Davidson', '0.3185'], ['Nicola Sturgeon', '0.2528'], ['Nigel Farage', '0.0926']]"
2016-12-27,The UK Brexit vote will no longer be viewed as some kind of outlier vote but perhaps the beginning of a global shift towards more populist voting.,None,[],"[['None', '0.9522'], ['Pat McDonagh', '0.0478']]"
2016-07-12,"We were disappointed about the vote but we know Scotland may yet separate from the UK. I don't really know what Brexit means to us, it is so complicated.",Ian Blackford,['Q18921442'],"[['Ian Blackford', '0.5512'], ['None', '0.4273'], ['Nicola Sturgeon', '0.0215']]"
2016-08-28,from Brits escaping post-Brexit to those coming from Asia,Phil Goff,['Q597909'],"[['Phil Goff', '0.7128'], ['None', '0.2873']]"
2016-09-16,"My view is, the Tory [ Conservative ] Party cannot be trusted on Brexit,",Diane James,['Q16751268'],"[['Diane James', '0.8553'], ['None', '0.1333'], ['Prime Minister Theresa May', '0.0071'], ['Nigel Farage', '0.0024'], ['Bill Smith', '0.002']]"
2016-04-29,Brexit people producing soundbites that are either offensive or inaccurate or just plain silly,John Major,"['Q27957644', 'Q47546458', 'Q9559']","[['John Major', '0.8704'], ['None', '0.1139'], ['Nigel Farage', '0.0157']]"
2016-09-15,"especially because of the Brexit vote,",Martin Schulz,"['Q17905', 'Q1904987', 'Q26884486', 'Q42372365']","[['Martin Schulz', '0.7305'], ['None', '0.2695']]"
2016-09-14,"Gold is approaching the very important $1,300 - $1,310 support zone, which has held incredibly well since the Brexit rally and will be a key focus for traders in the short term.",None,[],"[['None', '0.6939'], ['Jiang Shu', '0.1765'], ['Wang Tao', '0.1296']]"
2016-08-04,"I'm excited to take on this new role and am looking forward to working with our clients to enable them to achieve their growth objectives. Organisations in the investment management industry are contending with a huge range of issues such as increased regulation, the impact of audit reform, and of course strategic challenges arising from Brexit. We can help support them with these issues.",Matthew Foley,['Q59292259'],"[['Matthew Foley', '0.9394'], ['None', '0.0606']]"
2016-02-24,It's a way to develop a Pan-European dimension even in the event of a Brexit.,Nicolas Véron,['Q3340870'],"[['Nicolas Véron', '0.8774'], ['None', '0.1157'], ['Brad Katsuyama', '0.0069']]"
2016-07-14,"It's too early for most people to experience any direct economic impacts from Brexit, but fear for the future is clearly being felt by many,",None,[],"[['None', '0.889'], ['Prime Minister Theresa May', '0.057'], ['George Osborne', '0.0285'], ['Theresa May', '0.019'], ['David Cameron', '0.0064']]"
2016-07-20,Just when you think all the pathetic crying is over #BrexitJustice appears on my timeline and makes a mockery of the remain campaign.,Josh Kelly,"['Q16236817', 'Q20751996', 'Q6289045']","[['Josh Kelly', '0.8717'], ['None', '0.1212'], ['Marcus Ball', '0.0071']]"
2016-09-30,"The UK is a full and founding member of the World Trade Organisation, though we have chosen to be represented by the EU in recent years. As we establish our independent position post-Brexit, we will carry the standard of free and open trade as a badge of honour.",Liam Fox,"['Q16300641', 'Q332374', 'Q6539597']","[['Liam Fox', '0.8122'], ['None', '0.1669'], ['Harry Potter', '0.0209']]"
2016-07-22,"We are mindful of recent economic uncertainty following Brexit and its potential effect on consumer confidence and foreign exchange exposure of our suppliers but, despite this, our expectations for the UK business, over the whole financial year, remain unchanged,",Richard Rose,"['Q7328737', 'Q7328739']","[['Richard Rose', '0.9375'], ['None', '0.0625']]"
2016-09-12,"We are ready to work with employers to overcome any genuine problems that may exist, but we are not prepared to see Brexit used as a smokescreen for further disinvestment from Britain. � ut of the EU must not mean out of work,",Len McCluskey,['Q6521883'],"[['Len McCluskey', '0.954'], ['None', '0.0461']]"
2016-02-24,"A vote for Brexit would have potentially huge consequences for all asset classes. Following a vote to leave, we think uncertainty could grip the UK economy, triggering a potential slowdown in growth and a collapse in sterling,",Mark Carney,['Q192533'],"[['Mark Carney', '0.5558'], ['None', '0.4442']]"
2016-05-09,"Brexit vote set to fuel more referendums,",Christian Oliver,"['Q2965507', 'Q61677']","[['Christian Oliver', '0.8182'], ['None', '0.1818']]"
2016-12-16,"First, Brexit. In all the talk of `hard' and `soft' , of market access and so on, workers need to know that someone is looking out for them. We are putting protecting jobs, as at Nissan, and workers' rights at the top of the agenda -- but that work is just starting. We can't let the City and the CBI settle our economic future without hearing from working people,",Len McCluskey,['Q6521883'],"[['Len McCluskey', '0.8917'], ['None', '0.096'], ['Jeremy Corbyn', '0.0123']]"
2016-09-27,"London and Manchester are still under-supplied markets, even after Brexit -- but not many people realise that,",David Chiu,"['Q1173987', 'Q17502165', 'Q5232352']","[['David Chiu', '0.7502'], ['None', '0.2498']]"
2016-07-05,"no one has the will, or even the authority, to implement a Brexit just now.",Michael Hiltzik,['Q6831149'],"[['Michael Hiltzik', '0.8174'], ['None', '0.1511'], ['Donald Trump', '0.0233'], ['Hillary Clinton', '0.0082']]"
2016-06-23,"The U.K. is far more deregulated in its approach.... But they' d still have to scope the agreement in a way that would work for the U.K., post-Brexit. Would they actually throw financial services under the bus?",None,[],"[['None', '0.8967'], ['Bernie Sanders', '0.1033']]"
2016-07-20,"The violence of the first quarter... and the concerns about Brexit in the second quarter -- I think it's fair for us to say we feel like these are the types of factors that contribute to reduced client sentiment. They reduced confidence, and as a result they reduce activity,",Harvey Schwartz,['Q16204576'],"[['Harvey Schwartz', '0.9246'], ['None', '0.0754']]"
2016-07-12,"Theresa May will be the prime minister of Brexit. Deeply divided by the referendum on Europe, the Conservative Party reunites - at least it seems so-behind her and this objective, in a life-saving reflex.",None,[],"[['None', '0.7022'], ['Theresa May', '0.2518'], ['Margaret Thatcher', '0.0298'], ['David Cameron', '0.0163']]"
2016-08-13,"We have been clear, since the start of the EU referendum campaign, that this is the first decision ministers had to make to reassure rural businesses in the advent of a Brexit vote.",Ross Murray,['Q7369540'],"[['Ross Murray', '0.8477'], ['None', '0.1523']]"
2016-09-13,"Businesses were starting to think this way long before Brexit happened,",Richard Morris,"['Q18922221', 'Q21519391', 'Q30597752', 'Q47122981', 'Q56598135', 'Q56604648', 'Q57832174', 'Q7325470', 'Q7327905', 'Q7327906']","[['Richard Morris', '0.8659'], ['None', '0.1342']]"
2016-08-18,"man, they should call me `Mr. Brexit, '",None,[],"[['None', '0.7673'], ['Donald Trump', '0.1647'], ['Nate Silver', '0.068']]"
2016-09-29,"Mark Cuban has talked of having a `Trump put' on the market. I try to address those sort of fears -- sort of like Brexit -- how it might impact markets, investing, anticipating risks.",None,[],"[['None', '0.5361'], ['Robert Maloney', '0.4085'], ['Timothy Baker', '0.0554']]"
2016-07-21,"Our first and immediate recommendation is for this uncertainty surrounding the terms of Brexit to be removed as quickly as possible so that we know the terms of trade and the ways in which the United Kingdom will continue to operate in the global economy,",Christine Lagarde,['Q484605'],"[['Christine Lagarde', '0.868'], ['None', '0.1294'], ['Li Keqiang', '0.0021'], ['Jacob Lew', '2.0E-4'], ['Carlos Barria', '2.0E-4'], ['Prime Minister Theresa May', '2.0E-4']]"
2016-12-06,"People talk about the sort of Brexit that there is going to be -- is it hard or soft, is it grey or white. Actually we want a red, white and blue Brexit: that is the right Brexit for the UK, the right deal for the UK,",Prime Minister Theresa May,['Q264766'],"[['Prime Minister Theresa May', '0.9045'], ['None', '0.0869'], ['Philip Hammond', '0.0086']]"
2016-08-31,"Post-Brexit, it's meant a lot more meetings, more phonecalls and a lot more travel. I'm in daily contact with different players in the industry,",Eoghan Murphy,['Q5381683'],"[['Eoghan Murphy', '0.7735'], ['None', '0.2265']]"
2016-12-09,"Therefore, the ability to keep European citizenship for those who risk losing it will be on the table of the upcoming Brexit negotiations and will be discussed at the moment of the parliament's resolution, right after the triggering of article 50 in March.",Guy Verhofstadt,['Q12978'],"[['Guy Verhofstadt', '0.8046'], ['None', '0.1742'], ['Charles Goerens', '0.0177'], ['Prime Minister Theresa May', '0.002'], ['David Cameron', '0.0015']]"
2016-07-22,They have not realised that the referendum was not legally binding and secondly there is no Brexit plan.,Gina Miller,['Q27685562'],"[['Gina Miller', '0.8579'], ['None', '0.1045'], ['Dominic Chambers', '0.0193'], ['fund manager', '0.0139'], ['Dos Santos', '0.0031'], ['Michael Dougan', '0.0014']]"
2016-08-22,"We want a post-Brexit Europe, that has been hit in the heart by terrorism, to relaunch an ideal based on unity and peace, freedom and dreams, dialogue and identity.",Matteo Renzi,"['Q47563', 'Q49661315']","[['Matteo Renzi', '0.8244'], ['None', '0.1756']]"
2016-09-26,#XFactor has taken #Brexit to heart. Nothing wrong with french music.,None,[],"[['None', '0.5337'], ['Nicole Scherzinger', '0.2789'], ['Simon Cowell', '0.1453'], ['Sharon Osbourne', '0.0421']]"
2016-07-21,Brexit poses risks; it may also create opportunities. Current EU legislation could be placing smaller banks at a disadvantage. This is because it risks imposing a `one size fits all' approach to banking regulation. The Bank of England and the government both now need to consider whether the opportunity afforded by Brexit could enable the development of a regulatory regime less prejudicial to small and challenger banks.,Andrew Tyrie,['Q272008'],"[['Andrew Tyrie', '0.8322'], ['None', '0.1353'], ['Chris Davidson', '0.0156'], ['Andrew Bailey', '0.0098'], ['Sam Woods', '0.0071']]"
2016-12-28,Brexit would happen after two years in the most abrupt and damaging fashion possible: with Britain's membership of the EU simply lapsing.,Gideon Rachman,['Q5559654'],"[['Gideon Rachman', '0.7991'], ['None', '0.1762'], ['Nicola Sturgeon', '0.0247']]"
2016-12-16,Consumer spending remains resilient post-Brexit and 90% of sales continue to involve a physical shop in some way -- with retailers boosting the shopping and leisure experience to attract consumers.,Ed Cooke,"['Q5334686', 'Q5334687']","[['Ed Cooke', '0.8712'], ['None', '0.1233'], ['Gordon Ramsay', '0.0055']]"
2016-09-11,handicapped by Brexit uncertainty not golf clubs.,Vince Cable,['Q244312'],"[['Vince Cable', '0.8742'], ['None', '0.0975'], ['Jo Stevens', '0.0156'], ['Liam Fox', '0.011'], ['David Schneider', '0.0017']]"
2016-04-24,"The President should look for ways to make Brexit, if it happens, an opportunity to enhance the special relationship.",Penny Mordaunt,['Q580464'],"[['Penny Mordaunt', '0.4316'], ['Ted Cruz', '0.3623'], ['None', '0.2061']]"
2016-12-12,"These changes are going to be complex and take time. As such, most organisations cannot afford to wait and see what form Brexit takes. Doing so would leave them with insufficient time to prepare.",Mark Thompson,"['Q1060609', 'Q15437974', 'Q20715101', 'Q21457073', 'Q24577530', 'Q26935185', 'Q28606676', 'Q30675188', 'Q39072811', 'Q6769983', 'Q6769984', 'Q6769986', 'Q6769987', 'Q6769989', 'Q6769990', 'Q6769991']","[['Mark Thompson', '0.8853'], ['None', '0.1147']]"
2016-07-06,We think the momentum is towards a lower dollar/yen given all the Brexit worries.,None,[],"[['None', '0.9163'], ['William Dudley', '0.0837']]"
2016-07-27,"will doubtless be seized upon by supporters of Brexit that the U.K. is still good for business,",None,[],"[['None', '0.7342'], ['Andrew Witty', '0.2658']]"
2016-12-07,World economy is going backward due to the recent Brexit and Trump phenomena.,Mustafa Kamal,"['Q6943273', 'Q6943274']","[['Mustafa Kamal', '0.7849'], ['None', '0.2151']]"
2016-08-11,continue to campaign until the democratic will of the people who voted for Brexit has been fulfilled,None,[],"[['None', '0.8434'], ['Ali Khan', '0.0896'], ['Jack Buckby', '0.067']]"
2016-07-13,"Having argued that Brexit may lead to recession, it may be difficult for (Carney) to justify postponing a rate cut.",None,[],"[['None', '0.8776'], ['Theresa May', '0.0951'], ['Boris Johnson', '0.0272']]"
2016-02-22,"It has been woven into political folklore that when Boris was a young man, he told people that his ambition was to be `world king' . That particular job may never be available -- but Boris has another target: Being Prime Minister of the United Kingdom. He would not have launched himself behind Brexit unless he thought it served that grand design.",Andrew Pierce,"['Q38641924', 'Q4758274', 'Q4758275']","[['Andrew Pierce', '0.7721'], ['Stanley Johnson', '0.1213'], ['None', '0.1066']]"
2016-09-29,It's a common myth that the lower class swung the pendulum in favour of Brexit -- this much is fallacy.,Danny Dorling,['Q5220292'],"[['Danny Dorling', '0.9612'], ['None', '0.0388']]"
2016-12-19,When the politician's decided there were votes in it. And now the Tories are stealing the views of the Labour Party. Theresa May is a blatant liar. And she'll make us pay for Brexit. The SNP are the best of a bad bunch. But as a country we don't believe in ourselves.,Frank Gallagher,"['Q5486766', 'Q5486771']","[['Frank Gallagher', '0.966'], ['None', '0.034']]"
2016-09-07,"But there are directives and obligations linked to the single market, such as state aid rules and requirements to liberalise and privatise public services, which we would not want to see as part of a post-Brexit relationship.",Jeremy Corbyn,['Q291169'],"[['Jeremy Corbyn', '0.9381'], ['None', '0.0619']]"
2016-07-26,how she will lead a deeply divided Britain through the uncertainty that is Brexit.,Theresa May,"['Q264766', 'Q30161835']","[['Theresa May', '0.8078'], ['None', '0.1922']]"
2016-05-27,I'm No Secret Brexiteer,David Cameron,"['Q1173911', 'Q16195447', 'Q18719363', 'Q192', 'Q47345547', 'Q51808902', 'Q5232111']","[['David Cameron', '0.7615'], ['None', '0.2386']]"
2016-07-20,"Mario Draghi's speech is hotly anticipated by investors as they look for clues and guidance on what measures the central bank will take post - `Brexit' to navigate through uncertainty,",None,[],"[['None', '0.7904'], ['Mario Draghi', '0.2096']]"
2016-08-31,"The argument that won the Brexit campaign is the one that said take back control... which is another way of saying we want to control our destinies again,",Frans Timmermans,['Q32681'],"[['Frans Timmermans', '0.9463'], ['None', '0.0422'], ['Boris Johnson', '0.0064'], ['Prime Minister Theresa May', '0.0041'], ['Theresa May', '9.0E-4']]"
2016-12-01,Brexit will cast a shadow over the global economy.... The repercussions and fallout will emerge in the next five to 10 years.,Lou Jiwei,['Q346725'],"[['Lou Jiwei', '0.6109'], ['None', '0.2558'], ['Theresa May', '0.1333']]"
2016-09-09,"Either the entire industry took an early and long summer break, or Brexit and a general weakness in Germany's main export partners left another mark on the economy,",None,[],"[['None', '0.9486'], ['Wolfgang Schäuble', '0.0514']]"
2016-09-14,"The company has been very defensively positioned with cash or near cash of around 40% of the value of the investment portfolio. Fortunately, the majority of this was held in US Dollars so the company has so far benefited considerably from the weakness of Sterling following the Brexit vote, and is well placed to take advantage of new opportunities.",Christopher Mills,"['Q26258777', 'Q26922398', 'Q5112878']","[['Christopher Mills', '0.9546'], ['None', '0.0442'], ['Adam Clark', '0.0012']]"
2016-09-13,"We are probably the only [ British ] bank saying in a post-Brexit environment, we are going to deliver better results, faster.",None,[],"[['None', '0.5286'], ['David Duffy', '0.4714']]"
2016-07-01,"[ The ] only country that I worry about is Portugal, independently of Brexit, because [ the ] government is rolling back reforms,",Klaus Regling,['Q70195'],"[['Klaus Regling', '0.9594'], ['None', '0.0406']]"
2016-08-28,"Brexit is bad but it won't hurt us as much economically as some fear -- it's more of a psychological problem and it's a huge problem politically,",Sigmar Gabriel,['Q160902'],"[['Sigmar Gabriel', '0.7602'], ['None', '0.1719'], ['Angela Merkel', '0.0387'], ['Prime Minister Theresa May', '0.0235'], ['Philip Hammond', '0.0057']]"
2016-08-04,"Brexit may spell challenges and opportunities for London, which can learn from Singapore, that grew more creative and innovative after separating from Malaysia,",Nicholas Holt,['Q55990443'],"[['Nicholas Holt', '0.8572'], ['None', '0.1428']]"
2016-09-23,"But she has also created a Brexit vacuum. And it's no surprise that the likes of Boris are trying to fill the gap,",Prime Minister Theresa May,['Q264766'],"[['Prime Minister Theresa May', '0.6861'], ['Theresa May', '0.2289'], ['None', '0.0797'], ['Boris Johnson', '0.0053']]"
2016-07-08,Bydd Brexit yn cael effaith ac mae Tata eisiau ystyried hynny.,None,[],"[['None', '0.3621'], ['Sajid Javid', '0.2514'], ['Alun Cairns', '0.2267'], ['Stephen Kinnock', '0.1598']]"
2016-09-09,tells a truth no Brexiteer can unspin,None,[],"[['None', '0.492'], ['Theresa May', '0.475'], ['Angela Merkel', '0.0169'], ['Francois Hollande', '0.0161']]"
2016-12-21,"The shop is in no way meant to be `political' or `pro Brexit' , but we have had a lot of complaints saying it is or we are `racist!",None,[],"[['None', '0.91'], ['Catherine West', '0.09']]"
2016-08-05,"This is a positive opportunity for the livestock sector to shape future policy post Brexit, and to help Governments as much as possible by working in a collaborative way to deliver a profitable and dynamic industry,",Chris Dodds,['Q47226509'],"[['Chris Dodds', '0.8152'], ['None', '0.1848']]"
2016-07-29,"While concerns about Brexit are likely to quickly recede, weaker prospects for the economy are likely to remain,",Richard Curtin,['Q56249946'],"[['Richard Curtin', '0.8245'], ['None', '0.1755']]"
2016-07-15,"She will want to meet the representatives of the industry around the country. Her constituency is a rural one, so she knows about farming and this is a challenge she will relish, as fishing was such a high profile part of the referendum, which she so much stood up for during the Brexit debates.",Tim Loughton,['Q695228'],"[['Tim Loughton', '0.7744'], ['None', '0.1033'], ['Andrea Leadsom', '0.0972'], ['John Malone', '0.0144'], ['Amber Rudd', '0.0107']]"
2016-07-07,the aftermath of the Brexit vote is the best argument to stay in and to reform the EU.,None,[],"[['None', '0.8255'], ['Nigel Farage', '0.1745']]"
2016-07-12,To all Brexiteers that means we're out of the EU.,Catherine Meyer,['Q5052828'],"[['Catherine Meyer', '0.5389'], ['Crispin Blunt', '0.3816'], ['None', '0.0653'], ['Theresa May', '0.0142']]"
2016-12-02,"We at least end up with a soft Brexit, in which case, future generations of British people will have an awful lot to thank Sarah and the people of Richmond Park for.",Tim Farron,['Q304251'],"[['Tim Farron', '0.4551'], ['Faisal Islam', '0.2028'], ['None', '0.1317'], ['Guy Verhofstadt', '0.0626'], ['Anna Soubry', '0.0601'], ['Prime Minister Theresa May', '0.0319'], ['Theresa May', '0.0262'], ['Sarah Olney', '0.0256'], ['Zac Goldsmith', '0.0039']]"
2016-07-12,"Another important consequence of Brexit is that the uncertainty in Europe is a negative for global economic growth, which is already slow. That in turn will diminish demand for oil, which will bring prices lower unless there's a major supply disruption,",Michael Campbell,"['Q16230016', 'Q3308084', 'Q3856131', 'Q543007', 'Q56215702', 'Q58423707', 'Q6829078', 'Q6829079']","[['Michael Campbell', '0.7405'], ['None', '0.2595']]"
2016-07-21,"Brexit does offer us the opportunity to say goodbye to a whole range of inappropriate and costly regulations,",James Cooper,"['Q15693934', 'Q30598370', 'Q43914036']","[['James Cooper', '0.8009'], ['None', '0.1992']]"
2016-09-22,"Britain's businesses have proved remarkably resilient given the government's complete lack of contingency planning for Brexit-unlike the government, Britain's small business owners should be applauded for getting their heads down and getting on with it.",Margot James,['Q727347'],"[['Margot James', '0.4793'], ['Jon Trickett', '0.3249'], ['None', '0.1958']]"
2016-08-28,I voted for Brexit cause theres too many people in UK,Sharon Osbourne,['Q1806985'],"[['Sharon Osbourne', '0.704'], ['None', '0.282'], ['Andrew Stewart', '0.014']]"
2016-12-23,"In the Brexit fantasy, the best we can hope for is to kick out all the work-all-hours foreigners and become caretakers to our own past in this self-congratulatory island of moaning pomposity.",None,[],"[['None', '0.6768'], ['Nigel Farage', '0.3232']]"
2016-07-08,"It is proof that, in a post Brexit world, the Government still expects trade and tourism exchanges with continental Europe to continue to expand, which is great news for Eurotunnel",Jacques Gounon,['Q3159014'],"[['Jacques Gounon', '0.6666'], ['None', '0.3334']]"
2016-08-08,"It's no good having a wish list that's not realistic -- that's not what the Government wants. What it wants to know is: does Brexit mean the loss of 5pc of investment banking jobs? In which case -- OK. If it means the loss of 30pc of these jobs, then what's the implication of tax revenue? Is passporting worth fighting for?",Mark Boleat,['Q27734857'],"[['Mark Boleat', '0.8732'], ['None', '0.118'], ['Anthony Browne', '0.0088']]"
2016-05-31,"The government has paraded a number of financial institutions in front of the public, who have, in my view, grossly distorted our financial prospects in the event of a Brexit.",Tim Martin,"['Q20670776', 'Q20713880', 'Q7803899', 'Q7803900']","[['Tim Martin', '0.8561'], ['None', '0.1397'], ['Christine Lagarde', '0.0042']]"
2016-07-06,"The majority of oil's recent slide can be attributed to the broader selloff seen in global markets amid concerns that the post-Brexit vote recovery had proceeded a bit quickly,",Robbie Fraser,['Q24706330'],"[['Robbie Fraser', '0.7857'], ['None', '0.2143']]"
2016-08-25,"We reached those people who had been let down by modern global coporatism, we reached those people who had never voted in their lives, but believed by going out voting for Brexit they could take back control of their country, take back control of their borders and get back their pride, and self respect",None,[],"[['None', '0.5609'], ['NIGEL FARAGE', '0.3504'], ['Barack Obama', '0.048'], ['David Cameron', '0.0407']]"
2016-07-09,and we are quite happy to engage with the United Kingdom post-Brexit informally,None,[],"[['None', '0.5013'], ['Sajid Javid', '0.4987']]"
2016-07-06,expect the EU to be destroyed by Brexit.,None,[],"[['None', '0.4451'], ['Donald Tusk', '0.2677'], ['Frank-Walter Steinmeier', '0.238'], ['Michel Friedman', '0.0491']]"
2016-12-31,"For some sterling's depreciation has helped boost revenue, such as through export sales and from better trading conditions within the UK economy. In other cases firms may be reacting to uncertainty by preserving cash. The overriding trend we're seeing though is that UK firms are being resilient; modelling scenarios to understand the potential implications of Brexit whilst getting on with growing their businesses.",None,[],"[['None', '0.8494'], ['Mark Carney', '0.1506']]"
2016-09-16,"If Brexit doesn't mean Brexit, there will be a large number of Conservatives who will say there's only one party we can support. I have a feeling they're not going to deliver all that. They won't deliver unless UKIP is fighting hard. We won the war, we must now win the peace.",None,[],"[['None', '0.5455'], ['Adam Payne', '0.2506'], ['Nigel Farage', '0.2039']]"
2016-05-17,Labour Leavers will bear a heavy responsibility for backing a Tory Brexit,None,[],"[['None', '0.463'], ['Frank Field', '0.3048'], ['Kelvin Hopkins', '0.1807'], ['Kate Hoey', '0.0514']]"
2016-05-24,"European markets are sustained by a return in risk appetite by the intervention of Mark Carney, the governor of the Bank of England, who is determined to fight against a clearly harmful Brexit for the British economy which would also provoke a period of uncertainty in the eurozone.",None,[],"[['None', '0.8961'], ['Mark Carney', '0.1039']]"
2016-05-02,"The first opinion-poll results on President Obama's intervention in the Brexit debate since he left London for Germany and the EU summit have now been published. They show two things of interest: a small movement toward the Leave campaign, and a clear majority of voters who disapproved of the president's intervention.",President Obama,['Q76'],"[['President Obama', '0.7113'], ['None', '0.1415'], ['Robert Gates', '0.1258'], ['Hillary Clinton', '0.0117'], ['Donald Trump', '0.0097']]"
2016-09-30,"The formal go-ahead for Hinkley is the first serious sign that UK plc is open for business post-Brexit and holding a secret ceremony did not do justice to such an historic event. Attention must now straight away shift to Bradwell B and Sizewell C,",None,[],"[['None', '0.8163'], ['He Yu', '0.1837']]"
2016-08-31,"The impact of Brexit is masked in the airlines lowering fares significantly,",None,[],"[['None', '0.6099'], [""Michael O'Leary"", '0.3608'], ['Prime Minister Theresa May', '0.0292']]"
2016-08-23,"I don't know anybody, apart from folk like Boris Johnson, who has seriously said Brexit is not going to have a seriously bad impact on our economy; it's not a question of if, it's a question of how much... Those who have previously argued the UK somehow gives financial security and certainty to Scotland, that argument is bust, frankly.",Nicola Sturgeon,['Q467112'],"[['Nicola Sturgeon', '0.881'], ['None', '0.1191']]"
2016-07-27,"On Brexit, everyone was uncertain initially, but things have settled down now. It has happened, so you just have to get on with it.",None,[],"[['None', '0.7664'], ['Sharon Jones', '0.2336']]"
2016-09-08,"The strong unified message is that for fishing, the overwhelmingly positive balance of benefits of Brexit is plain to see,",None,[],"[['None', '0.8662'], ['George Eustice', '0.0828'], ['David Mundell', '0.051']]"
2016-09-01,The UK Cabinet is trying to nail down what Brexit means. Let's hope they get it all sorted out in good time before the referendum.,None,[],"[['None', '0.8849'], ['Theresa May', '0.1151']]"
2016-07-12,Though it may be that we are putting the worst of Brexit behind us for the moment.,John Carey,"['Q30122047', 'Q3809138', 'Q53836954', 'Q6225121', 'Q6225123', 'Q6225135']","[['John Carey', '0.8274'], ['None', '0.1469'], ['fund manager', '0.0227'], ['Theresa May', '0.003']]"
2016-08-23,we are going to make a success of [ Brexit ],None,[],"[['None', '0.6181'], ['Theresa May', '0.3819']]"
2016-08-24,"We believe with post-Brexit price adjustments, a favourable currency position, low cost of debt and with our investors having a long-term view on the UK real estate market it presents a compelling opportunity.",Charles Allen,"['Q1063538', 'Q16150468', 'Q19038456', 'Q5075079', 'Q5075081']","[['Charles Allen', '0.9337'], ['None', '0.0663']]"
2016-07-28,"Brexit has cause for concern to many UK-based companies, Ireland will see an influx of companies looking to set up in Dublin and service Europe,",Mary Mitchell,"['Q43393886', 'Q43394317']","[['Mary Mitchell', '0.5026'], ['None', '0.4974']]"
2016-04-20,"For all the European citizens who are watching right now and they are talking about Brexit, they are talking about immigration issues, how do you convince them of the way forward for Europe to deepen?",Valdis Dombrovskis,['Q57630'],"[['Valdis Dombrovskis', '0.7185'], ['None', '0.2815']]"
2016-12-02,"If there's some connection between everything that's going on in the world from Trump to Brexit to the Italian Referendum, it is that nobody's listening to the people's voice and we need to listen to people,",Manlio di Stefano,['Q16575444'],"[['Manlio di Stefano', '0.6447'], ['None', '0.3292'], ['Matteo Renzi', '0.0118'], ['Beppe Grillo', '0.0079'], ['Donald Trump', '0.0064']]"
2016-07-05,"In an uncertain consumer environment post Brexit, we expect the company's low-cost model to result in a resilient performance.",John Treharne,['Q47128435'],"[['John Treharne', '0.7174'], ['None', '0.2826']]"
2016-07-18,"In the short term, climate policy may take a back seat to the economic side effect of Brexit, but the issue is too large and important to remain contained in the long term. The UK will always play a leadership role in this area.",Rahul Bansal,['Q57322495'],"[['Rahul Bansal', '0.8265'], ['None', '0.1569'], ['Amber Rudd', '0.01'], ['Theresa May', '0.0066']]"
2016-09-07,Incoming data in the next few months will help us piece together a more complete picture about the impact of Brexit-related uncertainty on manufacturing activity levels,None,[],"[['None', '0.7443'], ['Charlie Bean', '0.2557']]"
2016-07-09,"informally, proactively engaging on trade-related matters post-Brexit.",Sajid Javid,['Q727798'],"[['Sajid Javid', '0.6857'], ['None', '0.3143']]"
2016-05-12,"My kids' school has a war memorial that lists the names of its dead in the chapel. A feature repeated in many buildings in many towns and cities up and down the country. Lists of the young and bright, full of talent and potential, for whom Europe meant an early death. Thankfully today, Europe means almost exactly the opposite. Where there was once war and conflict, today there is broad and shared understanding, opportunity and free trade -- a legacy our grandparents could only have dreamed of. Companies like easyJet have thrived off these open skies and open minds. And so have our people and our customers. Today, you can go to university as easily in Manchester or Milan, work in London or Lisbon, weekend in Liverpool or Ljubljana. We think nothing of it. Companies can choose the very best candidates regardless of where they were born in Europe. And the very best candidates can choose the very best companies, without forms, quotas and complexities. It is inevitable that a vote for Brexit will reduce the free movement of talent. Of course, for some voters, that is what this issue is all about.",None,[],"[['None', '0.8037'], ['Peter Duffy', '0.1963']]"
2016-08-01,"The Brexit vote was a severe jolt to Britain, to the European Union and perhaps to the global economy. However, it is wise to take a deep breath before concluding, as Donald Trump was from his golf course, that it means a Trump victory in November.",None,[],"[['None', '0.645'], ['Homi Kharas', '0.355']]"
2016-07-06,"The market is already pricing the Fed to be on hold despite forecasting a strong NFP rebound, because of Brexit-related risks, in our view. This suggests it would take a much stronger rebound to move markets. However, a weak NFP would surprise markets and could trigger a sharp risk-off market correction. As the market is already pricing the Fed to be on hold, the long risk position of the market will likely be squeezed if the NFP disappoints.",None,[],"[['None', '0.8907'], ['JACK DANIEL', '0.1093']]"
