date,quotation,speaker,qids,probas
2020-02-01,Through that we all learned a lot about what was required to trade successfully in a post-Brexit era.,None,[],"[['None', '0.9652'], ['Stephen Goodall', '0.0348']]"
2020-03-26,rubbing out Brexit and writing in coronavirus,Leo Varadkar,['Q1728820'],"[['Leo Varadkar', '0.941'], ['None', '0.059']]"
2020-02-10,"We are reasonably confident that we can do a free trade agreement (with America) in that first wave of post-Brexit trade deals,",Dominic Raab,['Q268584'],"[['Dominic Raab', '0.7683'], ['None', '0.2317']]"
2020-02-07,"Boris Johnson has nominated a string of Tory donors for peerages including a controversial businessman who was embroiled in a cash-for-access scandal. Peter Cruddas, who donated £ 50,000 to Mr Johnson's campaign for the Tory leadership, is one of 28 people that the prime minister has recommended as Tory peers. He has donated more than £ 3 million to the Tories since 2007.... Michael Spencer, a billionaire financier who has also served as Tory treasurer, has been nominated.... Jon Moynihan, a multimillionare venture capitalist who chaired the Vote Leave finance committee, is also understood to be on the list.... Others in line include Charles Moore, a former editor of The Daily Telegraph, Dan Hannan, a prominent Brexiteer and former Tory MEP, and James Wharton, a former Tory MP who helped Mr Johnson's campaign.",None,[],"[['None', '0.5364'], ['Robert Jenrick', '0.3702'], ['Charles Moore', '0.0934']]"
2020-01-30,"For advocates of Brexit, the U.K.'s departure from the EU was supposed to provide clarity and certainty,",None,[],"[['None', '0.8832'], ['Andrea Martin', '0.1168']]"
2020-02-14,This is not the Brexit I voted for,None,[],"[['None', '0.767'], ['Paul McCartney', '0.1869'], ['Salman Khan', '0.0461']]"
2020-03-08,"called Brexit correctly, right from the start, being consistent throughout",Stephen Farry,['Q7609180'],"[['Stephen Farry', '0.6029'], ['None', '0.3971']]"
2020-03-12,"Last year's record financing volumes in Ireland are the fruit of efforts across the EIB Group to strengthen our co-operation with the Irish public and private sectors in recent years. For the EIB what is even more important than the business volumes has been the impact: a cleaner environment; more and better social housing; small businesses better prepared for Brexit; and Irish-owned and managed exporters driving economic growth and job creation through innovation. For 2020 and beyond, we will prioritise projects that support the EU's and Ireland's ambitious climate and clean energy targets.",Andrew McDowell,['Q40454187'],"[['Andrew McDowell', '0.9372'], ['None', '0.0426'], ['Paschal Donohoe', '0.0202']]"
2020-03-11,narrow ideology of the Brexit fanboys led by Dominic Cummings now running the Treasury,None,[],"[['None', '0.5074'], ['Ian Blackford', '0.2345'], ['Boris Johnson', '0.1249'], ['Rishi Sunak', '0.1246'], ['Elizabeth Arnold', '0.0085']]"
2020-02-01,"I mean, what will Brexit actually look like? After three years, it's staggering that we still don't know.",None,[],"[['None', '0.8426'], ['Claire Booth', '0.1574']]"
2020-01-30,Series of Brexit cliff edges over the past year has contributed to weak productivity.,Mark Carney,['Q192533'],"[['Mark Carney', '0.7065'], ['None', '0.2935']]"
2020-02-13,"The outlook for Europe's economy is for stable, albeit subdued growth over the coming two years. This will prolong the longest period of expansion since the launch of the euro in 1999, with corresponding good news on the jobs front. We've also seen encouraging developments in terms of reduced trade tensions and the avoidance of a no-deal Brexit. But we still face significant policy uncertainty, which casts a shadow over manufacturing. As for the coronavirus, it is too soon to evaluate the extent of its negative economic impact.",Paolo Gentiloni,['Q1071031'],"[['Paolo Gentiloni', '0.9149'], ['None', '0.0851']]"
2020-01-07,"There's no discernible negative impact from Brexit, even before we got the certainty of a significant, stonking Conservative majority, which I'm obviously still celebrating.",Graham Stuart,"['Q328641', 'Q5593295']","[['Graham Stuart', '0.8794'], ['None', '0.1206']]"
2020-01-30,"We must learn from the mistakes of Brexit. We must debate and discuss, plan and prepare for constitutional change on our island.",None,[],"[['None', '0.8061'], ['Arlene Foster', '0.0976'], ['Steve Aiken', '0.0963']]"
2020-02-16,"It wasn't because of the £ 10-an-hour minimum wage, taking rail, mail and water into public ownership that we lost the general election. We lost the general because it became the Brexit election that Boris Johnson wanted.",Richard Burgon,['Q19871710'],"[['Richard Burgon', '0.9045'], ['None', '0.0955']]"
2020-01-13,"It will continue to dominate government for years to come. The prime minister may hope to end Brexit's dominance in the public debate after 31 January, but in Whitehall it will continue to be the biggest and most challenging task faced by a government in decades.",None,[],"[['None', '0.844'], ['Boris Johnson', '0.156']]"
2020-02-12,The Mayor is making progress fixing the housing crisis despite years of economic uncertainty linked to Brexit and having to repair the woeful legacy of the previous mayor who prioritised expensive private homes over housing Londoners could afford.,None,[],"[['None', '0.7093'], ['Sadiq Khan', '0.2907']]"
2020-03-06,"Looking ahead, the current big unknown is the impact and influence the coronavirus may have on market confidence, let alone the lingering uncertainty around the actual Brexit deal,",James Stewart,"['Q16214641', 'Q16236569', 'Q21457696', 'Q23618352', 'Q2706595', 'Q43394132', 'Q43395260', 'Q43911566', 'Q4444819', 'Q4444825', 'Q6137399', 'Q6143635', 'Q6143644', 'Q6143657', 'Q6143663']","[['James Stewart', '0.7691'], ['None', '0.2148'], ['Mark Carney', '0.0093'], ['Boris Johnson', '0.0068']]"
2020-01-06,along with two Brexit-backing donors whom Johnson's team expect to cause controversy. Some Conservatives are also pushing for Ken Clarke -- the former chancellor who was stripped of the whip for opposing Johnson on Brexit -- to be given a peerage and be readmitted to the party.,Tim Shipman,['Q45410447'],"[['Tim Shipman', '0.8527'], ['None', '0.1032'], ['Boris Johnson', '0.0393'], ['Matthew Elliott', '0.0048']]"
2020-01-31,"More than three years on, they still have not defined Brexit,",Tom Baldwin,['Q7814851'],"[['Tom Baldwin', '0.7979'], ['None', '0.1925'], ['Boris Johnson', '0.0096']]"
2020-02-04,"So, SMEs planning to expand overseas need to take a number of things into account. First, don't panic. Brexit is still causing uncertainty and so it is easy to see why some SMEs may be put off by expanding and doing business overseas. However, SMEs should see Brexit as an opportunity and those thinking about exporting or setting up new operations overseas now, will find that they will be ahead of many businesses come 2021.",None,[],"[['None', '0.5816'], ['Gerald Edelman', '0.4184']]"
2020-01-31,"Brexit is not just historic for the United Kingdom, it is historic for the whole of Europe, and indeed politics across the whole West.",Nigel Farage,['Q318471'],"[['Nigel Farage', '0.76'], ['None', '0.24']]"
2020-02-14,GBP will remain vulnerable to any signs of friction stemming from the talks between the EU and the UK on their future post Brexit arrangement. Consequently we continue to see GBP/USD as likely trading below the 1.30 level on a 1 and 3-month view.,None,[],"[['None', '0.7709'], ['Costas Milas', '0.2291']]"
2020-03-02,"Planning now is imperative to ensure that the impacts of post-Brexit trade arrangements are managed in as efficient manner as possible. The failure to do so will very possibly lead to stalled goods which, if they ruin, will increase costs yet further. Investing upfront to conduct a review of supply chains, to understand the position of all parties involved in a sale, and to put processes in place is a must,",Russell Hughes,['Q7381575'],"[['Russell Hughes', '0.9261'], ['None', '0.0739']]"
2020-03-04,We believe the UK can continue to play a full role after Brexit and intend to explore continued participation in the unitary patent system and the UPC with our European partners.,Tim Moss,['Q37374290'],"[['Tim Moss', '0.9268'], ['None', '0.0732']]"
2020-01-30,"What I am saying is that I know the person I want to lead this country through the next phase of Brexit because I know how tough it is going to be,",Simon Coveney,['Q1670096'],"[['Simon Coveney', '0.8769'], ['None', '0.1073'], ['Micheál Martin', '0.0158']]"
2020-01-10,"There will be trade-offs between market access and how far Britain wants to diverge from EU regulations once the Brexit transition period ends and London is free to forge its own trade deals or change its laws,",None,[],"[['None', '0.8209'], ['Michel Barnier', '0.0987'], ['Boris Johnson', '0.0804']]"
2020-02-11,"While opposition parties point to the Dáil consensus on Brexit, Varadkar is asking for time to finish the job, with a role in the subsequent negotiation of a UK-EU trade deal.",Liam Halligan,['Q6539617'],"[['Liam Halligan', '0.8382'], ['Leo Varadkar', '0.1095'], ['None', '0.0507'], ['Boris Johnson', '0.0016']]"
2020-01-05,"It's possible that there will be some bounce in activity given the clarity on Brexit, but any improvement in sentiment is likely to fade as the next Brexit deadline draws closer.",Dean Turner,"['Q2491773', 'Q5246516', 'Q5246517']","[['Dean Turner', '0.8491'], ['None', '0.1509']]"
2020-02-19,"Post-Brexit trade-facilitation is also high on the agenda, as well as sustainability and port connectivity.",None,[],"[['None', '0.7839'], ['Tim Morris', '0.2161']]"
2020-02-04,I think Brexit begins debate in all the other nations.,None,[],"[['None', '0.5526'], ['Boris Johnson', '0.1772'], ['Nigel Farage', '0.1388'], ['Michel Barnier', '0.1314']]"
2020-01-30,"The decision is final, Brexit is going ahead, get on with your lives god sake! #jeremyvine.",None,[],"[['None', '0.7627'], ['Ed Davey', '0.0824'], ['Boris Johnson', '0.0814'], ['Charlie Stayt', '0.0735']]"
2020-01-22,what Brexit means for the agricultural industry,None,[],"[['None', '0.6629'], ['Gareth Davies', '0.3371']]"
2020-01-31,Brexit is now inevitable but I don't believe it will be permanent. Young Brits will one day lead the campaign for us to rejoin as committed members.,Nigel Farage,['Q318471'],"[['Nigel Farage', '0.6802'], ['None', '0.2933'], ['Tulip Siddiq', '0.0177'], ['Keir Starmer', '0.0088']]"
2020-01-14,If Big Ben won't bong for Brexit then we'll blast chimes from huge speakers,Richard Tice,['Q23769958'],"[['Richard Tice', '0.565'], ['None', '0.3768'], ['Big Ben', '0.0582']]"
2020-01-07,In the Labour heartlands there was a twin problem of Brexit and Corbyn. The public perceived him as having anti-western values and his stance on Brexit was seen as unclear. By trying to please everyone on all sides of the argument he came across as weak and irresolute.,Adrian Bailey,"['Q21453071', 'Q25189736', 'Q260013']","[['Adrian Bailey', '0.9081'], ['None', '0.0767'], ['David Winnick', '0.0119'], ['Keir Starmer', '0.0033']]"
2020-03-18,"Sterling also fell sharply but having hit multiyear lows on the back of Brexit, GBP/USD only dropped to its lowest since September 2019",None,[],"[['None', '0.7815'], ['Rishi Sunak', '0.1154'], ['Boris Johnson', '0.1031']]"
2020-01-08,"We seem to have avoided a no-deal Brexit for now but that does not mean Brexit will not severely impact businesses in Louth and other border counties. In December I asked the Minister to provide support for businesses especially ones that may not necessarily use the services of Local Enterprise Offices (LEOs), Enterprise Ireland or IDA Ireland. I am glad the Minister has announced this new package and I encourage businesses in Louth to avail of the support.",Declan Breathnach,['Q23006308'],"[['Declan Breathnach', '0.9394'], ['None', '0.0606']]"
2020-01-31,"If we're going to prove to the world, including the EU, that we're still an open society after Brexit, we should be trying to make any programme a proper exchange, including lots of British students going abroad,",None,[],"[['None', '0.8011'], ['Theresa May', '0.1989']]"
2020-03-06,"It is our ambition, working with the industry, government, business organisations and universities, to help Wales become a key player on the world digital stage post-Brexit.",None,[],"[['None', '0.9318'], ['Paul Evans', '0.0682']]"
2020-02-06,"Muslims for Britain played a key role in the referendum bringing together those people who believed that Brexit offered a positive opportunity for the UK. I supported Brexit because I believed it would make Britain a more international and enterprising country,",Matthew Elliott,"['Q13647554', 'Q59505350', 'Q6790461', 'Q6790464']","[['Matthew Elliott', '0.584'], ['None', '0.3058'], ['Daniel Hannan', '0.1102']]"
2020-01-13,world of Brexit and Trump,Patrick Stewart,"['Q16296', 'Q43394636', 'Q43911027']","[['Patrick Stewart', '0.9257'], ['None', '0.0743']]"
2020-03-09,"If the virus starts to disrupt everyday life... and many other processes have slowed down as a consequence, there is no reason to think that Brexit trade talks will be immune, then the parties will have to work together in good faith to decide how to manage that,",Philip Hammond,"['Q18388174', 'Q332987']","[['Philip Hammond', '0.9325'], ['None', '0.0588'], ['Boris Johnson', '0.0088']]"
2020-02-18,"Of course, Brexit remains the biggest threat to jobs, businesses and our economy. That is why the Scottish government has consistently been clear that the best option for the future wellbeing and prosperity of Scotland -- and the UK as a whole -- is to stay in the European Union.",Jamie Hepburn,['Q1681399'],"[['Jamie Hepburn', '0.9308'], ['None', '0.0692']]"
2020-01-07,"Brexit will not resolve any of the existing challenges for the European Union, nor for the UK",None,[],"[['None', '0.7144'], ['Ursula von der Leyen', '0.2856']]"
2020-02-23,"I'm really worried about where Brexit is going and I don't mind saying that publicly. I think we are on a collision course with Britain as an EU, I don't know whether that is a deliberate strategy, it probably has to be on the British side,",Simon Coveney,['Q1670096'],"[['Simon Coveney', '0.9614'], ['None', '0.0386']]"
2020-01-29,"we would point to supportive financial conditions, easing trade tensions, lower odds of a hard-Brexit. High-tech manufacturing may have bottomed out",Jerome Powell,['Q6182718'],"[['Jerome Powell', '0.9081'], ['None', '0.0919']]"
2020-01-02,"Which is why, with certainty with Brexit, a well-managed economy, and the public finances back in surplus, we can do much better in the next budget.",None,[],"[['None', '0.636'], ['Leo Varadkar', '0.364']]"
2020-04-04,"A cynic might argue that if Brexit was all about taking back control, opening up your borders and not imposing checks is a strange way of doing it.",Anand Menon,"['Q4751260', 'Q59503396']","[['Anand Menon', '0.7568'], ['None', '0.2432']]"
2020-02-05,"It would be great if more people our age could be involved with this Brexit `subculture' ,",None,[],"[['None', '0.7967'], ['Danny Dorling', '0.2033']]"
2020-01-19,propose a Forum of the Nations and Regions to prevent post-Brexit centralisation of power in London,None,[],"[['None', '0.5549'], ['Gordon Brown', '0.4422'], ['STEPHEN POLLARD', '0.0015'], ['Big Ben', '6.0E-4'], ['Boris Johnson', '4.0E-4'], ['Keir Starmer', '2.0E-4']]"
2020-01-29,"But we're sick of hearing `Brexit, Brexit, Brexit' .",None,[],"[['None', '0.7907'], ['Leanne Walker', '0.2093']]"
2020-01-21,"I have to say I'm very proud of the way they handled Brexit,",None,[],"[['None', '0.558'], ['Maria Murphy', '0.442']]"
2020-01-08,"Nigel Dodds very much owned Brexit -- he was the head of the DUP here in Westminster, he was part of the Vote Leave campaign, and I think that people were very angry at that style of politics.",John Finucane,['Q55615175'],"[['John Finucane', '0.6169'], ['None', '0.1928'], ['Paul Maskey', '0.1902']]"
2020-01-02,phenomenal endorsement of Brexit.,Michael Harris,"['Q10329450', 'Q16187105', 'Q18686600', 'Q1927708', 'Q19867775', 'Q4504656', 'Q47482445', 'Q50326819', 'Q58394797', 'Q6830961', 'Q6830964', 'Q6830965', 'Q6830966', 'Q6830967', 'Q6830968', 'Q6830969', 'Q6830970']","[['Michael Harris', '0.6717'], ['None', '0.3283']]"
2020-01-05,That's why Brexit interests my students: it reads like a reversal of centuries of British interconnection with Europe and beyond.,None,[],"[['None', '0.9519'], ['Donald Trump', '0.0481']]"
2020-03-02,"The political landscape in Europe has been totally reshaped by Brexit,",Anna Hallberg,['Q3442358'],"[['Anna Hallberg', '0.7153'], ['None', '0.2847']]"
2020-01-17,Will this be the first big challenge to the PM from the party's hardline Brexiteers?,None,[],"[['None', '0.7822'], ['Boris Johnson', '0.127'], ['prime minister Theresa May', '0.0908']]"
2020-01-10,"As the U.K. comes to terms with its new trading relationship with the EU and grapples with the productivity challenge that has hindered growth since the financial crisis, the annual cost of Brexit is likely to keep increasing,",Dan Hanson,['Q55311877'],"[['Dan Hanson', '0.8126'], ['None', '0.1799'], ['Boris Johnson', '0.0036'], ['Simon Birmingham', '0.0029'], ['Sajid Javid', '0.001']]"
2020-01-11,Brexit will go from front-page news to City page news by the summer,Nigel Farage,['Q318471'],"[['Nigel Farage', '0.7702'], ['None', '0.2107'], ['Boris Johnson', '0.0191']]"
2020-01-26,"It also demonstrates the importance India places on the UK-India relationship and signals that post-Brexit, India will wish to deeply engage with the UK as it charts its own course outside the European Union",Narendra Modi,['Q1058'],"[['Narendra Modi', '0.8709'], ['None', '0.1175'], ['Bob Blackman', '0.0071'], ['Barry Gardiner', '0.0045']]"
2020-01-28,"The general election provided businesses with much needed clarity surrounding Brexit and it's wholly encouraging that even prior to the result, businesses have been feeling positive about the impact it will have. Businesses have been given the assurance they need to plan ahead to a post-Brexit era,",Kerstin Braun,['Q1275325'],"[['Kerstin Braun', '0.8697'], ['None', '0.1303']]"
2020-02-08,When I went [ to the UK ] at the president's direction in September I met prime minister Johnson and I told him the moment the UK was out of Brexit we were willing to begin to negotiate a free trade arrangement with the UK.,Boris Johnson,['Q180589'],"[['Boris Johnson', '0.6433'], ['None', '0.3567']]"
2020-03-09,Brexit ultimately impacts negatively on our nearest markets.,None,[],"[['None', '0.9184'], ['Theresa May', '0.0816']]"
2020-02-08,"Italy must remain in the European Union, but it must also have the place it deserves because today, after Brexit, we have become the third European contributor.",Matteo Adinolfi,['Q29642244'],"[['Matteo Adinolfi', '0.9367'], ['None', '0.0633']]"
2020-01-30,Brexit can be averted if the Remain side continues to put its case to the public,None,[],"[['None', '0.9231'], ['Sadiq Khan', '0.0769']]"
2020-01-31,essential that the post-Brexit visa system is as supportive as possible to recruiting staff from EU countries and does not create hurdles which worsen the pressure on language teaching.,Geoff Barton,"['Q52159103', 'Q5534039']","[['Geoff Barton', '0.9425'], ['None', '0.0575']]"
2020-02-03,"Brexit day should not be about celebration,",Glyn Roberts,['Q16222010'],"[['Glyn Roberts', '0.8123'], ['None', '0.1877']]"
2020-02-19,"I have no time to lose in polemics right now. I recommend, on both sides, that we remain calm and face the reality, the truth and the economic, social and human consequences of Brexit,",Michel Barnier,['Q438465'],"[['Michel Barnier', '0.7609'], ['None', '0.1898'], ['Boris Johnson', '0.0493']]"
2020-02-09,"I suspect it is actually to do with Brexit rather than anything else,",Dawn Butler,['Q5242429'],"[['Dawn Butler', '0.9054'], ['Sophy Ridge', '0.0591'], ['None', '0.0334'], ['John Bercow', '0.0013'], ['Leo Varadkar', '8.0E-4']]"
2020-01-15,"Boris' bonkers `bung a bob for Big Ben Brexit bongs' bid bombs,",Boris Johnson,['Q180589'],"[['Boris Johnson', '0.5716'], ['None', '0.4284']]"
2020-02-07,"Brexit is happening, and our attitude now should be to strive to make the best of it.",Tony Blair,['Q9545'],"[['Tony Blair', '0.9058'], ['None', '0.0695'], ['Boris Johnson', '0.0247']]"
2020-01-13,"I think part of the Brexit campaign, and part of the undertone of Brexit, from some politicians, Nigel Farage and others, had racism at its core and its heart. They used it as a mechanism to divide our communities, to divide our country","Meghan , Duchess of Sussex",['Q3304418'],"[['Meghan , Duchess of Sussex', '0.8234'], ['None', '0.0948'], ['Clive Lewis', '0.0818']]"
2020-03-21,"If it wasn't for the virus, he would be getting on with Brexit. Unfortunately that die is cast, and he will get back to business in due course.",None,[],"[['None', '0.5372'], ['Boris Johnson', '0.4628']]"
2020-01-20,"Are there enough angry New Zealanders to make that social media campaign work? In the US and in the UK there was enough anger. There was more than enough. I don't think there is [ in New Zealand ]. Not at the moment... We don't have a Brexit, we are not a broken, angry gun-toting country like the US.",Chris Trotter,['Q5108312'],"[['Chris Trotter', '0.8857'], ['None', '0.1143']]"
2020-01-21,"It is great fun and it doesn't lecture. Interestingly, I had two friends come to see the show on the same night. One had his People's Vote badge on and had been on a march that day; the other was a big Nigel Farage fan. They both loved it. It is something for both Leavers and Remainers. But it is also a cautionary tale that reminds us to be careful what we wish for. We are not sure that Boris got where he has at the time he wanted to be there -- I'm sure he would rather be PM when there was no Brexit -- but that's the way of politics.",None,[],"[['None', '0.5404'], ['Will Barton', '0.3534'], ['Boris Johnson', '0.1062']]"
2020-01-15,never seen Brexiteers as different. That's a really negative categorisation and that's unfair.,Gina Miller,['Q27685562'],"[['Gina Miller', '0.8856'], ['None', '0.1144']]"
2020-01-06,"base case is that a hard Brexit is avoided, this will likely remain a concern for investors in coming months.",None,[],"[['None', '0.8809'], ['Dan Burns', '0.1191']]"
2020-02-15,"It would be clever for India to invest in Portugal, not only to strengthen ties with the EU but because of Portugal's prospective relation with the Great Britain post-Brexit.",Marcelo Rebelo de Sousa,['Q6756617'],"[['Marcelo Rebelo de Sousa', '0.9181'], ['None', '0.0516'], ['Piyush Goyal', '0.0303']]"
2020-02-25,"So I rekindled the flame of an old hobby of mine-model ship building - in the also relentless, time-consuming medium matchsticks. So as I have pointlessly been watching, listening to many hours of social Brexit discussion on TV, I have been positively glueing matches.",David Reynolds,"['Q28457833', 'Q3018679', 'Q3018680', 'Q47128494', 'Q5239009', 'Q5239010']","[['David Reynolds', '0.6935'], ['None', '0.3065']]"
2020-02-13,"I suspect [ his sacking ] was because of the role that he played he-obviously would have crossed swords, when he was helping Theresa May as chief whip, with a lot of Brexiteers.",None,[],"[['None', '0.6601'], ['Bertie Ahern', '0.1846'], ['Stanislaus Kennedy', '0.1095'], ['Seamus Mallon', '0.0458']]"
2020-02-02,"We've modelled every possible ramification of Brexit and the fact remains that our entire business both in the U.K. and in Europe is not sustainable in the event of WTO tariffs,",None,[],"[['None', '0.8718'], ['Boris Johnson', '0.0783'], ['Makoto Uchida', '0.0499']]"
2020-02-18,"If I am successful in retaining my Seanad seat, this will commence the rebuild process for the Fine Gael brand in Cork South West. The recent general election has altered the traditional face of Irish politics; these changes, as well as the unknown impact of Brexit, have thrust our political system into a period of evolution. I firmly believe that I can be a positive voice for progress within the Oireachtas as a member of Seanad Éireann.",None,[],"[['None', '0.8368'], ['Tim Lombard', '0.1632']]"
2020-02-11,voters in Ireland took to heart Johnson's message that he had got Brexit done,Mary Lou McDonald,['Q467414'],"[['Mary Lou McDonald', '0.3707'], ['None', '0.3462'], ['Leo Varadkar', '0.1686'], ['Michael Martin', '0.1145']]"
2020-02-29,"For the Home Secretary and Prime Minister to have allowed things to reach this point is appalling, especially at a time when the Home Office faces crucial challenges with rising violent crime, forthcoming counter-terror legislation, new immigration laws, and sensitive negotiations on post-Brexit security co-operation.",None,[],"[['None', '0.4794'], ['Jon Trickett', '0.2588'], ['Philip Rutnam', '0.1076'], ['Sir Mark Sedwill', '0.0751'], ['Boris Johnson', '0.0543'], ['Yvette Cooper', '0.0168'], ['Dave Penman', '0.0072'], ['Priti Patel', '8.0E-4']]"
2020-02-26,the point off the whole (Brexit) project,Boris Johnson,['Q180589'],"[['Boris Johnson', '0.8059'], ['None', '0.1941']]"
2020-01-28,We do not want to feed post-Brexit anxieties by threatening a potential US-UK free trade agreement when it comes to Congress for approval. Nor would we want to have to review US-UK intelligence sharing. The facts on Huawei are clear. We hope that your government will make the right decision and reject Huawei's inclusion in its 5G infrastructure.,None,[],"[['None', '0.7993'], ['Marco Rubio', '0.0779'], ['John Cornyn', '0.0686'], ['Tom Cotton', '0.0542']]"
2020-01-04,Either there will be an extension of the deadline or we will have a disorderly Brexit.,None,[],"[['None', '0.6816'], ['Boris Johnson', '0.267'], ['Ursula von der Leyen', '0.0514']]"
2020-02-12,"No doubt Brexit uncertainty has had its impact on these results. Despite recent progress on that front, until a trade deal is done the impact assessed and its operation experienced, uncertainty is going to be the new norm.",Alan Flower,['Q21693705'],"[['Alan Flower', '0.9246'], ['None', '0.0754']]"
2020-02-12,"Populists use the politics of symbolism [ Make America Great Again, Build The Wall, Take Back Control, Get Brexit Done ] which people on the left counter with 20-point programmes,",Fareed Zakaria,['Q333425'],"[['Fareed Zakaria', '0.5918'], ['None', '0.3535'], ['Bill Maher', '0.0321'], ['Donald Trump', '0.0116'], ['Bernie Sanders', '0.0064'], ['Jeremy Corbyn', '0.0046']]"
2020-01-09,"Would my right honourable friend agree that to mark us leaving the European Union, our fantastic local breweries in Burton-on-Trent should brew a celebratory Brexit beer.",None,[],"[['None', '0.7153'], ['Stephen Barclay', '0.2847']]"
2020-01-31,And we will not simply be bored into submission by the reality that Brexit is with us not just for today but for years and years to come.,Mark Drakeford,['Q6767407'],"[['Mark Drakeford', '0.8673'], ['None', '0.1327']]"
2020-01-31,"I think it's very hard to know at this point how Brexit will affect us all and what the impact of it is going to be. I just don't know what's going to happen now, that's why I wasn't in favour of taking that risk in the first place.",None,[],"[['None', '0.5633'], ['Katie Smith', '0.4367']]"
2020-04-08,"He made the most cogent case for Brexit of those currently in Cabinet, that is what annoys his enemies,",Dominic Raab,['Q268584'],"[['Dominic Raab', '0.5613'], ['None', '0.4198'], ['Boris Johnson', '0.0189']]"
2020-01-07,fight against a far-right Brexit,Rosena Allin-Khan,['Q24668273'],"[['Rosena Allin-Khan', '0.8778'], ['None', '0.1062'], ['Boris Johnson', '0.0113'], ['Sadiq Khan', '0.0047']]"
2020-02-06,Leaving the EU is Brexit and we've done it! It's happened and we've done it.,Daniel Hannan,['Q974023'],"[['Daniel Hannan', '0.6166'], ['Layla Moran', '0.1648'], ['None', '0.1547'], ['Andrew Neil', '0.0639']]"
2020-03-05,"This was probably one of the most unintended consequences of Brexit: that people suddenly said, well hang on a minute, if people have been going for abortions in Spain what happens if.. the frontier is closed?",None,[],"[['None', '0.589'], ['Fabian Picardo', '0.411']]"
2020-02-11,"In each scenario, the impact of Brexit is initially transmitted to the Irish economy via the traded sector. The reduction in traded sector output would arise due to the fall in demand for Irish exports",None,[],"[['None', '0.7169'], ['Michel Barnier', '0.2831']]"
2020-01-03,"The eurozone continues to muddle along as demand is still weak and the recent decision to loosen monetary policy by the European Central Bank highlights the need to assist the region. The latest flash readings from the big eurozone economies point to minimal rates of expansion, and traders will be wondering whether that trend will continue. The uncertainty in relation to Brexit has caused the services industry to contract, which is worrying seeing as the sector accounts for approximately 80% of UK economic output,",David Madden,"['Q16106332', 'Q3018348', 'Q5237028', 'Q5237029', 'Q5237030', 'Q5237031', 'Q57832814']","[['David Madden', '0.6296'], ['None', '0.3704']]"
2020-02-15,The idea that Boris or anyone else could sell out the fishing industry when people voted so comprehensively for Brexit is anathema.,None,[],"[['None', '0.3868'], ['Michael Forsyth', '0.347'], ['Emmanuel Macron', '0.1188'], ['Boris Johnson', '0.1147'], ['John Nicolson', '0.021'], ['Nicola Sturgeon', '0.0117']]"
2020-01-21,Two sides of the Brexit debate living in harmony...,None,[],"[['None', '0.2511'], ['Ray Davies', '0.2174'], ['Esther Rantzen', '0.1833'], ['Marjorie Wallace', '0.1831'], ['Dame Kristin Scott Thomas', '0.1219'], ['Barbara Mills', '0.0288'], ['Nigel Farage', '0.0143']]"
2020-03-12,"As you will be aware, the United Kingdom left the European Union at the end of January, however this is far from the end of the Brexit story,",Leo Varadkar,['Q1728820'],"[['Leo Varadkar', '0.6676'], ['None', '0.3324']]"
2020-01-30,Brexit uncertainties and a weaker world outlook,None,[],"[['None', '0.7549'], ['Mark Carney', '0.2005'], ['Boris Johnson', '0.0445']]"
2020-01-20,"GBP is underperforming in markets that are otherwise moderately risk-on overnight. In a weekend interview, Chancellor Javid warned business that that UK regulation would diverge from the EU after Brexit,",Adam Cole,"['Q19817463', 'Q4678885', 'Q928045']","[['Adam Cole', '0.6539'], ['Sajid Javid', '0.2663'], ['None', '0.0764'], ['Boris Johnson', '0.0034']]"
2020-01-15,love to hear the Big Ben bong on Brexit day,Matt Hancock,['Q478161'],"[['Matt Hancock', '0.9622'], ['None', '0.0251'], ['Mark Francois', '0.011'], ['Boris Johnson', '0.0017']]"
2020-01-27,"I have just told President Museveni of Uganda that his beef cattle will have an honored place on the tables of post-Brexit Britain,",Boris Johnson,['Q180589'],"[['Boris Johnson', '0.9145'], ['None', '0.0576'], ['Michel Barnier', '0.0232'], ['Leo Varadkar', '0.0047']]"
2020-02-05,"If the government is truly committed to boosting workforce resilience after Brexit, I would urge ministers to look at how to fund our future vets, to give students from all backgrounds the best shot at a successful pathway to graduation.",Dos Santos,"['Q1378703', 'Q56241895']","[['Dos Santos', '0.6041'], ['None', '0.3959']]"
2020-02-01,It's also encouraging that the PM and Cummings actually believe in Brexit.,None,[],"[['None', '0.9108'], ['Boris Johnson', '0.0892']]"
2020-01-12,people had made their mind up on Brexit and Corbyn,None,[],"[['None', '0.8463'], ['Theresa May', '0.1537']]"
2020-01-24,"the world of Brexit and Trump and feeling, `Why hasn't the Federation changed? Why hasn't Starfleet changed?' Maybe they're not as reliable and trustworthy as we all thought.",None,[],"[['None', '0.5294'], ['Sir Patrick Stewart', '0.4706']]"
2020-01-14,We ended up in the European elections as the single biggest party in this parliament. Why? Why did Boris Johnson get such a massive majority in the last election? Because his basic promise was `get Brexit done' .,Sophia In ' t Veld,['Q446991'],"[[""Sophia In ' t Veld"", '0.5579'], ['None', '0.4421']]"
2020-02-04,"But if I were trying to deliver Brexit, I would be worrying less about the long-term economic impact and more about the short term,",John Curtice,['Q6227958'],"[['John Curtice', '0.9406'], ['None', '0.0594']]"
